# Zini      MH   logAge Mini         int_IMF      Mass  logL  logTe  logg   label g_min_i   McoreTP C_O   period0 period1 pmode Mloss     tau1m X      Y      Xc       Xn       Xo       Cexcess Z        mbolmag umag  gmag   rmag   imag   zmag  
  6.1788E-4 -1.4 10.2   0.7498812079 2.3998408318 0.749 3.316 3.6041 0.365  3     2.0180001 0.0     0.533 0.0     0.0     -1    -1.0E-30  0.0   0.7533 0.2461 1.1E-4   3.062E-5 2.755E-4 -1.0    5.834E-4 -3.519  1.904 -1.527 -3.019 -3.545 -3.85 
  9.7797E-4 -1.2 9.6    1.1329705715 2.4970383644 1.094 3.31  3.6084 0.553  3     1.8460001 0.0     0.41  0.0     0.0     -1    -1.11E-8  0.0   0.7312 0.2678 1.321E-4 9.287E-5 4.293E-4 -1.0    9.839E-4 -3.505  1.531 -1.703 -3.072 -3.549 -3.833
  9.7797E-4 -1.2 9.75   1.0221290588 2.4774327278 0.97  3.312 3.6035 0.478  3     1.924     0.0     0.436 0.0     0.0     -1    -1.5E-8   0.0   0.7336 0.2655 1.401E-4 8.243E-5 4.281E-4 -1.0    9.84E-4  -3.511  1.751 -1.608 -3.031 -3.532 -3.83 
  9.7797E-4 -1.2 9.9    0.9240301251 2.4554970264 0.862 3.319 3.5985 0.401  3     2.014     0.0     0.47  0.0     0.0     -1    -1.77E-8  0.0   0.738  0.261  1.499E-4 6.909E-5 4.255E-4 -1.0    9.84E-4  -3.527  1.977 -1.51  -2.996 -3.524 -3.836
  9.7797E-4 -1.2 10.05  0.836194396  2.4307551384 0.765 3.325 3.594  0.325  3     2.099     0.0     0.505 0.0     0.0     -1    -2.07E-8  0.0   0.7436 0.2555 1.598E-4 5.52E-5  4.217E-4 -1.0    9.578E-4 -3.542  2.19  -1.415 -2.961 -3.514 -3.842
  9.7797E-4 -1.2 10.2   0.756925106  2.4026689529 0.745 3.33  3.5902 0.293  3     2.157     0.0     0.53  0.0     0.0     -1    -1.52E-27 0.0   0.7504 0.2486 1.655E-4 4.682E-5 4.163E-4 -1.0    9.675E-4 -3.555  2.329 -1.35  -2.935 -3.507 -3.846
  0.0015467 -1.0 9.6    1.1489387751 2.499506712  1.108 3.327 3.5948 0.486  3     1.973     0.0     0.409 0.0     0.0     -1    -1.21E-8  0.0   0.7286 0.2698 2.183E-4 1.545E-4 7.113E-4 -1.0    0.001629 -3.549  1.921 -1.552 -3.005 -3.525 -3.84 
  0.0015467 -1.0 9.75   1.0378812551 2.4805135727 0.983 3.329 3.5897 0.413  3     2.059     0.0     0.433 0.0     0.0     -1    -1.67E-8  0.0   0.7303 0.2681 2.306E-4 1.385E-4 7.095E-4 -1.0    0.001581 -3.552  2.155 -1.443 -2.954 -3.502 -3.833
  0.0015467 -1.0 9.9    0.9387724996 2.4591314793 0.873 3.335 3.5845 0.334  3     2.152     0.0     0.464 0.0     0.0     -1    -1.96E-8  0.0   0.7343 0.2641 2.456E-4 1.182E-4 7.056E-4 -1.0    0.001566 -3.567  2.385 -1.335 -2.908 -3.487 -3.837
  0.0015467 -1.0 10.05  0.8499073982 2.4350066185 0.774 3.34  3.5796 0.257  3     2.2419999 0.0     0.499 0.0     0.0     -1    -2.32E-8  0.0   0.7396 0.2587 2.618E-4 9.56E-5  6.999E-4 -1.0    0.001629 -3.581  2.605 -1.23  -2.862 -3.472 -3.839
  0.0015467 -1.0 10.2   0.7693765759 2.4075226784 0.736 3.345 3.5755 0.214  3     2.31      0.0     0.526 0.0     0.0     -1    -7.16E-22 0.0   0.7464 0.252  2.726E-4 7.955E-5 6.913E-4 -1.0    0.001552 -3.592  2.753 -1.148 -2.82  -3.458 -3.842
  0.0024432 -0.8 9.6    1.1726144552 2.5030245781 1.131 3.345 3.5807 0.421  3     2.137     0.0     0.407 0.0     0.0     -1    -1.29E-8  0.0   0.7255 0.2719 3.431E-4 2.473E-4 0.001126 -1.0    0.002578 -3.592  2.363 -1.357 -2.907 -3.494 -3.853
  0.0024432 -0.8 9.75   1.0594966412 2.4845702648 1.003 3.345 3.5754 0.347  3     2.2289999 0.0     0.43  0.0     0.0     -1    -1.8E-8   0.0   0.7264 0.2711 3.607E-4 2.249E-4 0.001124 -1.0    0.002536 -3.594  2.582 -1.233 -2.834 -3.462 -3.844
  0.0024432 -0.8 9.9    0.9590839744 2.4639286995 0.89  3.351 3.5697 0.268  3     2.329     0.0     0.459 0.0     0.0     -1    -2.18E-8  0.0   0.7299 0.2676 3.83E-4  1.951E-4 0.001118 -1.0    0.002511 -3.606  2.798 -1.11  -2.765 -3.439 -3.845
  0.0024432 -0.8 10.05  0.8687777519 2.440605402  0.789 3.355 3.5644 0.189  3     2.427     0.0     0.492 0.0     0.0     -1    -2.57E-8  0.0   0.7349 0.2625 4.068E-4 1.619E-4 0.00111  -1.0    0.002554 -3.619  2.985 -0.985 -2.682 -3.412 -3.846
  0.0024432 -0.8 10.2   0.7865728736 2.4139363766 0.744 3.36  3.5594 0.139  3     2.5119998 0.0     0.52  0.0     0.0     -1    -6.5E-20  0.0   0.7414 0.2562 4.262E-4 1.335E-4 0.001098 -1.0    0.002477 -3.63   3.131 -0.874 -2.603 -3.386 -3.847
  0.0038518 -0.6 9.6    1.198616147  2.5067043304 1.157 3.362 3.5658 0.355  3     2.324     0.0     0.406 0.0     0.0     -1    -1.37E-8  0.0   0.7214 0.2748 5.184E-4 3.734E-4 0.001701 -1.0    0.003891 -3.635  2.73  -1.114 -2.719 -3.438 -3.869
  0.0038518 -0.6 9.75   1.0842229128 2.4889833927 1.027 3.362 3.56   0.28   3     2.4259999 0.0     0.427 0.0     0.0     -1    -1.96E-8  0.0   0.7213 0.2749 5.427E-4 3.425E-4 0.001698 -1.0    0.003888 -3.634  2.922 -0.967 -2.605 -3.393 -3.857
  0.0038518 -0.6 9.9    0.9822341204 2.469119072  0.91  3.366 3.5537 0.198  3     2.547     0.0     0.454 0.0     0.0     -1    -2.43E-8  0.0   0.7244 0.2717 5.753E-4 2.988E-4 0.00169  -1.0    0.003886 -3.645  3.102 -0.8   -2.457 -3.347 -3.854
  0.0038518 -0.6 10.05  0.8902709484 2.4466509819 0.807 3.37  3.5479 0.118  3     2.662     0.0     0.485 0.0     0.0     -1    -2.7E-8   0.0   0.729  0.2671 6.096E-4 2.511E-4 0.001679 -1.0    0.003878 -3.656  3.266 -0.637 -2.306 -3.299 -3.851
  0.0038518 -0.6 10.2   0.8062184453 2.4208800793 0.788 3.374 3.5423 0.082  3     2.7680001 0.0     0.515 0.0     0.0     -1    -1.66E-26 0.0   0.7351 0.2611 6.412E-4 2.046E-4 0.001661 -1.0    0.003791 -3.665  3.375 -0.478 -2.135 -3.246 -3.843
  0.0060543 -0.4 9.6    1.2409894466 2.5123229027 1.202 3.379 3.5497 0.29   3     2.5770001 0.0     0.404 0.0     0.0     -1    -1.39E-8  0.0   0.7161 0.2778 8.037E-4 5.848E-4 0.002652 -1.0    0.006063 -3.677  3.012 -0.752 -2.322 -3.329 -3.883
  0.0060543 -0.4 9.75   1.1202961206 2.4950215816 1.064 3.377 3.5431 0.212  3     2.718     0.0     0.423 0.0     0.0     -1    -2.06E-8  0.0   0.7151 0.2788 8.403E-4 5.408E-4 0.002648 -1.0    0.006063 -3.674  3.181 -0.526 -2.083 -3.244 -3.857
  0.0060543 -0.4 9.9    1.0166209936 2.476329565  0.942 3.38  3.5363 0.129  3     2.875     0.0     0.449 0.0     0.0     -1    -2.66E-8  0.0   0.7174 0.2766 8.871E-4 4.788E-4 0.002637 -1.0    0.00603  -3.681  3.342 -0.282 -1.822 -3.157 -3.836
  0.0060543 -0.4 10.05  0.9221131206 2.4550147057 0.836 3.384 3.5296 0.047  3     3.038     0.0     0.477 0.0     0.0     -1    -3.12E-8  0.0   0.7216 0.2725 9.37E-4  4.095E-4 0.00262  -1.0    0.005962 -3.69   3.495 -0.023 -1.537 -3.061 -3.811
  0.0060543 -0.4 10.2   0.8353578448 2.4304907322 0.769 3.387 3.5231 -0.019 3     3.218     0.0     0.506 0.0     0.0     -1    -2.58E-15 0.0   0.7272 0.267  9.851E-4 3.384E-4 0.002595 -1.0    0.005863 -3.697  3.624 0.281  -1.205 -2.937 -3.765
  0.0094713 -0.2 9.6    1.2870897055 2.5179548264 1.251 3.391 3.5326 0.226  3     2.979     0.0     0.4   0.0     0.0     -1    -1.36E-8  0.0   0.7064 0.2841 0.00125  9.316E-4 0.004166 -1.0    0.009513 -3.708  3.255 -0.105 -1.551 -3.084 -3.835
  0.0094713 -0.2 9.75   1.1622952223 2.5015115738 1.108 3.39  3.5255 0.147  3     3.1750002 0.0     0.419 0.0     0.0     -1    -2.07E-8  0.0   0.7045 0.286  0.001308 8.623E-4 0.00416  -1.0    0.009513 -3.704  3.414 0.242  -1.191 -2.933 -3.768
  0.0094713 -0.2 9.9    1.0560741425 2.4839406013 0.983 3.392 3.518  0.062  3     3.401     0.0     0.443 0.0     0.0     -1    -2.87E-8  0.0   0.7061 0.2845 0.001376 7.74E-4  0.004143 -1.0    0.009431 -3.71   3.569 0.645  -0.781 -2.756 -3.685
  0.0094713 -0.2 10.05  0.9587038159 2.4638409615 0.87  3.395 3.5106 -0.023 3     3.646     0.0     0.469 0.0     0.0     -1    -3.41E-8  0.0   0.7096 0.281  0.001449 6.731E-4 0.004118 -1.0    0.00941  -3.717  3.714 1.101  -0.322 -2.545 -3.575
  0.0094713 -0.2 10.2   0.8688428402 2.4406242371 0.83  3.398 3.5031 -0.076 3     3.86      0.0     0.497 0.0     0.0     -1    -9.07E-22 0.0   0.7148 0.2759 0.001522 5.655E-4 0.004082 -1.0    0.009267 -3.724  3.819 1.533  0.102  -2.327 -3.454
  0.01471   0.0  9.6    1.3415619135 2.5240392685 1.31  3.401 3.5155 0.168  3     3.532     0.0     0.394 0.0     0.0     -1    -1.26E-8  0.0   0.6934 0.2918 0.001916 0.001468 0.006486 -1.0    0.01476  -3.734  3.461 0.923  -0.477 -2.609 -3.613
  0.01471   0.0  9.75   1.2100229263 2.5082612038 1.16  3.4   3.5075 0.084  3     3.783     0.0     0.417 0.0     0.0     -1    -2.03E-8  0.0   0.6917 0.2935 0.00202  0.001347 0.006462 -1.0    0.01476  -3.731  3.615 1.436  0.008  -2.347 -3.459
  0.01471   0.0  9.9    1.1012196541 2.4918849468 1.032 3.401 3.4999 0.002  3     4.001     0.0     0.436 0.0     0.0     -1    -2.94E-8  0.0   0.6916 0.2937 0.002107 0.001239 0.006437 -1.0    0.01476  -3.733  3.752 1.906  0.436  -2.095 -3.308
  0.01471   0.0  10.05  1.0005639791 2.4730336666 0.912 3.404 3.4914 -0.088 3     4.198     0.0     0.461 0.0     0.0     -1    -3.65E-8  0.0   0.6946 0.2909 0.002213 0.001092 0.006403 -1.0    0.01457  -3.739  3.892 2.377  0.831  -1.821 -3.142
  0.01471   0.0  10.2   0.907336235  2.4512174129 0.892 3.406 3.4831 -0.133 3     4.294     0.0     0.487 0.0     0.0     -1    -2.48E-27 0.0   0.6992 0.2863 0.002318 9.376E-4 0.006351 -1.0    0.01448  -3.744  3.975 2.667  1.029  -1.627 -3.023
  0.022594  0.2  9.6    1.3862266541 2.5286202431 1.36  3.403 3.499  0.116  3     4.032     0.0     0.39  0.0     0.0     -1    -1.15E-8  0.0   0.6723 0.3046 0.002955 0.002335 0.01011  -1.0    0.02312  -3.738  3.664 2.099  0.585  -1.933 -3.198
  0.022594  0.2  9.75   1.2464492321 2.5130147934 1.201 3.405 3.4899 0.024  3     4.2139997 0.0     0.416 0.0     0.0     -1    -2.0E-8   0.0   0.6713 0.3057 0.003147 0.002091 0.01006  -1.0    0.02298  -3.743  3.817 2.602  0.985  -1.612 -2.994
  0.022594  0.2  9.9    1.1377724409 2.4977891445 1.073 3.405 3.4822 -0.055 3     4.292     0.0     0.431 0.0     0.0     -1    -2.92E-8  0.0   0.6686 0.3085 0.003242 0.001985 0.01004  -1.0    0.02298  -3.742  3.937 2.862  1.142  -1.43  -2.874
  0.022594  0.2  10.05  1.0346642733 2.4798932076 0.948 3.407 3.4733 -0.147 3     4.373     0.0     0.453 0.0     0.0     -1    -3.89E-8  0.0   0.6712 0.3061 0.003395 0.001773 0.009988 -1.0    0.02275  -3.747  4.066 3.114  1.296  -1.259 -2.764
  0.022594  0.2  10.2   0.9386228323 2.4590952396 0.883 3.409 3.464  -0.217 3     4.435     0.0     0.477 0.0     0.0     -1    -2.01E-18 0.0   0.6754 0.3021 0.003547 0.001548 0.009911 -1.0    0.0226   -3.753  4.172 3.317  1.434  -1.118 -2.675
